dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
cassandra_load_pageview_top_pages_per_editor_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,9685.4,,main/dags/cassandra_load/cassandra_load_pageview_top_pages_per_editor_dag.py:69
cassandra_load_pageview_top_per_country_daily,airflow-main,1,1,"'@daily'",86400.0,28,8312.9,,main/dags/cassandra_load/cassandra_load_pageview_top_per_country_dag.py:51
cassandra_load_unique_devices_daily,airflow-main,1,1,"'@daily'",86400.0,191,8381.0,,main/dags/cassandra_load/cassandra_load_unique_devices_dag.py:67
cassandra_load_unique_devices_monthly,airflow-main,1,1,"'@monthly'",2419200.0,5,83.1,,main/dags/cassandra_load/cassandra_load_unique_devices_dag.py:101
check_bad_parsing,airflow-platform-eng,0,1,"",,2,70083.6,,
cirrus_check_consistency_monthly,airflow-search,0,1,"",,0,31602.4,,
cirrus_namespace_map_daily,airflow-search,1,1,"'0 1 * * *'",86400.0,28,228.1,max_active_runs,search/dags/cirrus_namespace_map_daily_dag.py:15
citation_needed_clickthroughs_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,8311.8,,analytics_product/dags/citation_needed/citation_needed_clickthroughs_daily_dag.py:42
citation_needed_searches_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,27,6484.1,,analytics_product/dags/citation_needed/citation_needed_searches_daily_dag.py:34
clickstream_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,239280.8,,main/dags/clickstream/clickstream_monthly_dag.py:128
commons_impact_metrics_dumps_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,240165.7,,main/dags/commons/commons_impact_metrics_dumps_monthly_dag.py:97
commons_impact_metrics_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,238634.3,external_task_sensor,main/dags/commons/commons_impact_metrics_monthly_dag.py:144
commons_structured_data_dump_to_hive_weekly,airflow-main,1,1,"'0 0 * * 1'",604800.0,2,186479.6,,main/dags/dump_to_hive/commons_structured_data_dump_to_hive_weekly_dag.py:47
compute_user_agent_compliance_hourly,airflow-main,1,1,"'@hourly'",3600.0,2726,3540.1,max_active_runs,main/dags/user_agent_compliance/compute_user_agent_compliance_hourly_dag.py:40
compute_user_agent_top_non_compliant_daily,airflow-main,1,1,"'@daily'",86400.0,156,16739.8,max_active_runs,main/dags/user_agent_compliance/compute_user_agent_top_non_compliant_daily_dag.py:37
compute_user_agents_info_hourly,airflow-dev,0,1,"",,4,295.9,,
content_diff,airflow-research,1,1,"'@daily'",86400.0,29,26496.1,,research/dags/content_diff_dag.py:104
content_diff_backfill,,1,0,"None",,0,,,research/dags/content_diff_dag.py:266
country_project_page_daily_dag,airflow-platform-eng,1,1,"'@daily'",86400.0,28,9123.9,max_active_runs,platform_eng/dags/differential_privacy/country_project_page_daily.py:73
custom_operators_tryout,,1,0,"'@daily'",86400.0,0,,,analytics_test/dags/custom_operators_tryout_dag.py:33
cx_corpora_load_monthly,airflow-analytics-product,1,1,"'@monthly'",2419200.0,0,442.1,,analytics_product/dags/content_translation/cx_corpora_monthly_dag.py:54
